quote_date,underlying_last,expire_date,dte,c_last,strike,p_last
2021-01-04,129.45,2021-01-08,4.0,66.85,65.0,0.01
2021-01-04,129.45,2021-01-08,4.0,63.43,70.0,0.01
2021-01-04,129.45,2021-01-08,4.0,54.15,75.0,0.02
2021-01-04,129.45,2021-01-08,4.0,48.91,80.0,0.01
2021-01-04,129.45,2021-01-08,4.0,43.2,85.0,0.01
2021-01-04,129.45,2021-01-08,4.0,38.3,90.0,0.01
2021-01-04,129.45,2021-01-08,4.0,39.85,95.0,0.02
2021-01-04,129.45,2021-01-08,4.0,29.27,100.0,0.05
2021-01-04,129.45,2021-01-08,4.0,26.6,101.0,0.05
2021-01-04,129.45,2021-01-08,4.0,27.15,102.0,0.06
2021-01-04,129.45,2021-01-08,4.0,26.2,103.0,0.07
2021-01-04,129.45,2021-01-08,4.0,24.67,104.0,0.07
2021-01-04,129.45,2021-01-08,4.0,24.15,105.0,0.08
2021-01-04,129.45,2021-01-08,4.0,24.3,106.0,0.09
2021-01-04,129.45,2021-01-08,4.0,25.68,107.0,0.11
2021-01-04,129.45,2021-01-08,4.0,21.65,108.0,0.11
2021-01-04,129.45,2021-01-08,4.0,20.2,109.0,0.12
2021-01-04,129.45,2021-01-08,4.0,19.4,110.0,0.14
2021-01-04,129.45,2021-01-08,4.0,20.05,111.0,0.15
2021-01-04,129.45,2021-01-08,4.0,21.28,112.0,0.15
2021-01-04,129.45,2021-01-08,4.0,17.48,113.0,0.16
2021-01-04,129.45,2021-01-08,4.0,15.0,114.0,0.18
2021-01-04,129.45,2021-01-08,4.0,14.79,115.0,0.21
2021-01-04,129.45,2021-01-08,4.0,13.6,116.0,0.21
2021-01-04,129.45,2021-01-08,4.0,12.95,117.0,0.25
2021-01-04,129.45,2021-01-08,4.0,11.6,118.0,0.29
2021-01-04,129.45,2021-01-08,4.0,11.0,119.0,0.32
2021-01-04,129.45,2021-01-08,4.0,9.6,120.0,0.36
2021-01-04,129.45,2021-01-08,4.0,8.59,121.0,0.43
2021-01-04,129.45,2021-01-08,4.0,7.85,122.0,0.49
2021-01-04,129.45,2021-01-08,4.0,6.92,123.0,0.62
2021-01-04,129.45,2021-01-08,4.0,6.1,124.0,0.78
2021-01-04,129.45,2021-01-08,4.0,5.28,125.0,0.92
2021-01-04,129.45,2021-01-08,4.0,4.4,126.0,1.14
2021-01-04,129.45,2021-01-08,4.0,3.74,127.0,1.44
2021-01-04,129.45,2021-01-08,4.0,3.15,128.0,1.81
2021-01-04,129.45,2021-01-08,4.0,2.55,129.0,2.2
2021-01-04,129.45,2021-01-08,4.0,2.07,130.0,2.73
2021-01-04,129.45,2021-01-08,4.0,1.62,131.0,3.31
2021-01-04,129.45,2021-01-08,4.0,1.24,132.0,4.0
2021-01-04,129.45,2021-01-08,4.0,0.95,133.0,4.65
2021-01-04,129.45,2021-01-08,4.0,0.7,134.0,5.37
2021-01-04,129.45,2021-01-08,4.0,0.52,135.0,6.29
2021-01-04,129.45,2021-01-08,4.0,0.39,136.0,7.1
2021-01-04,129.45,2021-01-08,4.0,0.3,137.0,7.6
2021-01-04,129.45,2021-01-08,4.0,0.21,138.0,8.9
2021-01-04,129.45,2021-01-08,4.0,0.16,139.0,9.85
2021-01-04,129.45,2021-01-08,4.0,0.14,140.0,10.45
2021-01-04,129.45,2021-01-08,4.0,0.1,141.0,11.09
2021-01-04,129.45,2021-01-08,4.0,0.08,142.0,13.1
2021-01-04,129.45,2021-01-08,4.0,0.07,143.0,13.06
2021-01-04,129.45,2021-01-08,4.0,0.06,144.0,15.4
2021-01-04,129.45,2021-01-08,4.0,0.05,145.0,16.07
